X_mean,Y_mean,Z_mean,theta,phi,cos_phi,sin_phi,X_ideal,Y_ideal,Z_ideal
0.47,-0.01,-0.88,2.6830903810806213,6.25957371642422,0.9997212593413556,-0.023609396877810072,0.44248219491184615,-0.010449650493499451,-0.8967164055544868
0.89,0.08,0.37,1.1863026694373573,0.21590928028556433,0.9767819977456244,0.21423568535626164,0.9054656549500573,0.19859401135820207,0.37508981105666167
-0.5,0.37,-0.85,2.626377248450615,2.4388903066378167,-0.7630984970030346,0.6462822014195576,-0.37599564896064847,0.3184376547572951,-0.8701866075706605
0.44,-0.4,-0.95,2.5597587460517617,5.604761948957639,0.7785631332469557,-0.6275662893660582,0.4278648272371631,-0.3448834532655749,-0.8354562186475871
-0.97,-0.12,-0.14,1.7692194865271142,3.3200287288368506,-0.984122478283342,-0.17749069760822167,-0.9648126461075258,-0.174008086795834,-0.1971236760022702
0.31,-0.4,0.8,0.5914887796672871,5.542086848390714,0.7377274358734207,-0.6750986819418535,0.41135496910436303,-0.3764333328932015,0.8301114595523089
-0.96,-0.28,-0.28,1.8523191467949267,3.429221077289953,-0.9589193376371641,-0.28367887461970526,-0.9211700244102512,-0.2725114257284729,-0.27781884200941437
0.63,0.64,-0.14,1.6053831296302956,0.852233671701381,0.658303387076921,0.7527527154139355,0.6579096796238566,0.7523025212326646,-0.0345799075217163
0.01,0.72,-0.64,2.395396625006607,1.5898440765741138,-0.019046597992931347,0.9998185970989416,-0.012929792789351106,0.6787273660223585,-0.7342765031449502
-0.84,-0.45,0.32,1.2267211762407302,3.4822337563143213,-0.9425406723175603,-0.33409142615033,-0.887296319235331,-0.314509603052328,0.3373261796233751
-0.52,-0.37,0.92,0.5292869679627193,3.594576427311144,-0.8991452572532473,-0.43765032429896766,-0.45399462829574705,-0.22097752804768564,0.8631673126205259
-0.19,-0.52,-0.78,2.5175858263479647,4.3687344175092955,-0.33693021367685444,-0.9415296230664595,-0.19686547949563638,-0.5501278103901234,-0.8115438221182648
0.22,-1.0,0.02,1.6809346479876,4.932886728153222,0.2187153468050282,-0.9757887051364943,0.21739012947453265,-0.969876307484301,-0.10991578497951998
0.51,0.57,0.64,0.8047879014203867,0.8287768904208029,0.6757778259690135,0.7371053723373571,0.48702200917696703,0.5312197672306234,0.6932641065861357
-0.06,0.67,0.68,0.7991298909305656,1.6337750376677438,-0.06293708686240566,0.9980174963883519,-0.04511013237492801,0.7153286499103139,0.6973306235743588
0.05,0.18,-0.99,2.9865078591743712,1.3549582403693512,0.21416614393257008,0.9767972475355639,0.03308093282748914,0.15087988950286227,-0.987998436652036
-0.37,0.87,-0.37,1.9910740635277457,1.966993177432335,-0.3859126019614302,0.9225353454732013,-0.3523288105642978,0.8422523113318338,-0.40801403566854266
-0.38,-0.96,-0.04,1.6564401746692163,4.40829596517788,-0.2994279271330739,-0.9541189215463608,-0.29833046592818147,-0.9506218913552338,-0.08553918853526998
0.13,-0.73,0.7,0.8662193384736597,4.912368396861468,0.1986491575298124,-0.9800706669484073,0.15134793445948583,-0.7467017374322925,0.6477116009849161
-0.4,0.91,0.36,1.393760879329953,2.026193767248271,-0.43981928435824774,0.8980862971377521,-0.4329449578952592,0.8840493082697682,0.1761121346779273
0.15,1.0,0.06,1.466520543032275,1.513780142740956,0.056985297276313567,0.9983750176633679,0.056675764823212474,0.9929520492293568,0.10408691374483581
-0.51,-0.61,-0.41,2.035913339359208,4.061007675545158,-0.6062854624412992,-0.7952470924387841,-0.5418792050677667,-0.7107672688505272,-0.4485273867289354
0.4,0.87,0.03,1.5395291217513158,1.062448665851212,0.4867345112863819,0.8735499502162466,0.4864966055653271,0.873122977141676,0.03126211062406503
0.35,0.87,-0.35,1.9596538646333046,1.1765287214333129,0.38413208792774484,0.9232781482436759,0.35545386451590505,0.8543487933713947,-0.37913149363453114
0.27,0.76,0.55,1.0070671974747383,1.254438018873189,0.3111076592781701,0.9503746757665936,0.2629694617036054,0.8033216458988546,0.5343420210330376
-0.82,0.47,-0.25,1.8306107648767818,2.577588910013932,-0.8451215926430002,0.5345741236241788,-0.8167573393589107,0.5166325682626871,-0.25690122228913825
-0.47,0.16,0.89,0.48633760803652865,2.8982157344982156,-0.9705297354792154,0.24098139461511173,-0.453617145387327,0.112632604979165,0.884050553818197
-0.36,0.94,-0.01,1.5219224030112817,1.9266761460386752,-0.34841519002238114,0.9373403092589522,-0.34799915005900955,0.9362210382308843,0.0488544689060475
0.45,0.86,0.03,1.4933755562213091,1.058506898756915,0.4901740514979585,0.8716245747098212,0.4887057394560121,0.8690136309946414,0.07734345071343585
-0.13,0.68,-0.59,2.252634930930159,1.9006799901542302,-0.32393296681410844,0.946080035203687,-0.2515065127976121,0.7345510178285382,-0.630221608822994
-0.91,0.06,0.41,1.2170536708221844,3.0608190054384683,-0.9967395821449574,0.0806858437738345,-0.9350242463325621,0.07569000129601017,0.3464111465787932
-0.75,-0.22,0.63,0.8312967038775669,3.4663466220875274,-0.9477292577529344,-0.31907562426339015,-0.7001879335726011,-0.23573494242024642,0.6739183144873375
0.38,-0.95,-0.06,1.599503204441489,4.967854883118999,0.2526962182165506,-0.9675456688441396,0.25259210380748603,-0.96714702637032,-0.028702934992013374
0.46,0.82,-0.24,1.9355184891254682,0.9564953107742108,0.5763874698329843,0.817176532102783,0.5384743730545382,0.7634250288723863,-0.3566897459343597
0.07,0.94,0.17,1.3171379868217863,1.5316305416598146,0.0391557727867328,0.9992331186752538,0.03790282142794572,0.9672585104710344,0.250946906833213
0.43,-0.77,0.52,1.109246530694075,5.239971774359604,0.50344628390062,-0.8640265269230201,0.4507673727733826,-0.7736177224906923,0.4453362719241456
1.0,-0.07,-0.2,1.741818661779167,0.03754103146194287,0.9992954182331804,0.03753221413896594,0.9847169880259741,0.0369846675832995,-0.170189858266603
-0.43,0.86,-0.3,1.8754135670318979,2.110351434550522,-0.5137543528441908,0.8579373315887627,-0.49010203893010035,0.8184394607230172,-0.2999280589874433
0.37,-0.77,-0.6,2.1409864337893905,5.050228209583867,0.3314492384586455,-0.9434730533116376,0.27901342937574236,-0.794214080419216,-0.5397920902457232
0.11,-0.4,0.91,0.37040656029623426,4.719635806343672,0.007246762529509195,-0.9999737418716758,0.0026232878114427873,-0.3619849440536955,0.9321802500801555
-1.0,0.21,0.03,1.6626836108249003,3.120020913378997,-0.9997673390345528,0.021570067217544463,-0.9955496536037108,0.021479070287865235,-0.09175803370332641
0.34,0.72,0.61,0.9684315906723788,1.0844785295260024,0.46737377653679585,0.8840598130249634,0.38511509360812335,0.728463586834304,0.5665925937847289
0.73,-0.56,-0.4,1.9865883626164307,5.55417432559067,0.7458335841352532,-0.6661323177687464,0.6822860960152533,-0.6093756411451836,-0.40391460875185137
-0.16,0.12,1.0,0.05967521630614432,2.4232667201004205,-0.7529085289552355,0.6581251758035573,-0.044903317144959806,0.03925045653447046,0.9982199626190688
-0.83,0.63,-0.13,1.6884511995836347,2.4713467322543363,-0.7836689284774463,0.6211787267276714,-0.7782511476907983,0.616884298240787,-0.117383617689724
-0.36,0.1,-0.95,2.7660203753831087,3.238172216130604,-0.9953398181037482,-0.09642948976945581,-0.3650956003932135,-0.03537081690358041,-0.9302978597659423
-0.86,0.37,0.5,1.1079173412171799,2.803898956977614,-0.9435212799853445,0.33131192887491545,-0.8442351637049507,0.29644819512227827,0.446525985775542
-0.84,-0.23,-0.51,2.1822627856859107,3.391981126333212,-0.9688162389084726,-0.24778033664365195,-0.7932735668045626,-0.20288428655448512,-0.5740688238168361
-0.94,0.5,-0.22,1.7409867077408785,2.6203195701356523,-0.8671859067111655,0.49798454112706536,-0.8546572729705335,0.4907899293650505,-0.16936998256013308
-0.13,0.16,-0.98,2.926059147558913,2.320691742182269,-0.6815622328986962,0.731760153797775,-0.14576477467943175,0.15650053478472759,-0.9768624330348408
-0.71,-0.24,0.71,0.8787441488872322,3.535759732502138,-0.9233167590133244,-0.38403927211306216,-0.7108967551455152,-0.2956864691651087,0.6381185747776418
-0.94,0.12,0.24,1.2994808781036369,2.9484051877364723,-0.9813972663106585,0.19198803524690405,-0.9454969604477161,0.18496495761668022,0.2679989967107908
0.58,0.17,0.73,0.7533256862109653,0.3976782257977584,0.921962652100715,0.3872787989697033,0.6306854734999773,0.2649251703940258,0.7294179101227266
0.33,0.33,0.91,0.4072584452266909,1.096336736938146,0.4568577976139917,0.8895397420909833,0.1809584023082001,0.35234090642453963,0.9182101841593776
0.88,0.5,0.08,1.5221361047649544,0.5380218457574651,0.858724042846768,0.5124383067618016,0.8577075926517476,0.5118317463409274,0.04864102121810576
-0.77,-0.58,0.29,1.3471882884682271,3.8065760644622944,-0.7869270214927759,-0.6170460783803006,-0.767335464542181,-0.6016839252764503,0.22174927039284253
0.24,0.58,0.72,0.7009378569570163,1.2377589109062967,0.32691505322954584,0.9450537275583454,0.2108388671348905,0.6094979577465319,0.7642376669649852
-0.47,-0.85,0.25,1.2493706482516531,4.288418752951236,-0.4113824005960164,-0.9114628464615872,-0.39031385523554285,-0.8647831725201632,0.3159195450381781
0.25,0.37,-0.76,2.524971298416708,1.1917942715115017,0.36999352890158,0.9290343312122301,0.21396061386641801,0.5372438712624659,-0.8158369190621525
0.01,0.02,-1.0,3.060817939412946,2.3202866711315724,-0.6812657621362096,0.732036174885483,-0.05496922673097536,0.05906573426848761,-0.9967394961312223
0.45,0.27,0.93,0.506664450349948,0.5439690227785328,0.855661313464996,0.5175361983855409,0.4152211643773353,0.25114140316904116,0.8743679890454678
0.35,-0.84,0.44,1.0573453946591465,5.082625046438736,0.3618355127245696,-0.9322419545007335,0.31517850506805273,-0.812033687265295,0.49118611614071234
-0.2,0.91,0.17,1.3202308175393482,1.8375178671298167,-0.2635703248857488,0.9646401836123254,-0.25533964502238093,0.9345167448750736,0.24795184860763048
-0.52,-0.73,-0.42,2.0574605650202633,4.042275618633776,-0.6210748384427074,-0.7837512647858151,-0.5489667097659521,-0.6927560520455092,-0.4676800230104603
-0.61,0.7,0.28,1.2900521950083361,2.33002742254799,-0.688363912028596,0.725365511047146,-0.6614141394304913,0.6969671083539837,0.2770707238849117
0.2,-0.92,0.08,1.5935469563247302,4.974041780640289,0.25867744962816047,-0.9659637555591154,0.2586105079370636,-0.9657137791988708,-0.022748666993229805
-0.59,-0.15,0.79,0.6578942962629569,3.4282483464204065,-0.9591948271247631,-0.282745970116456,-0.5865015995909943,-0.1728855901447008,0.7912815215822517
-0.39,-0.72,0.55,1.0067029671966499,4.321695333813886,-0.3808298836064084,-0.9246451209801139,-0.3218293122758761,-0.7813932577093243,0.5346498579130516
0.98,0.13,-0.03,1.5587474235052248,0.11128396343255635,0.9938143273723999,0.11105441328170713,0.993742189215715,0.11104635215756631,0.012048611756382388
0.15,-0.79,0.53,1.0087861736244437,4.829100586809379,0.11644682037783945,-0.9931969281184327,0.09853562657000835,-0.8404289726590224,0.5328882361356424
0.14,-0.77,0.59,0.9297544326200077,4.779034554249719,0.0665962489624728,-0.9977800056245506,0.05337510264977298,-0.7996938423981164,0.5980308159682599
0.59,-0.76,0.41,1.129974580948451,5.414522240322925,0.6458478273456645,-0.7634661642226751,0.5841056429410785,-0.6904798248680495,0.4266827970923798
0.71,-0.58,-0.28,1.8567329240361818,5.5468541675593155,0.7409374512972479,-0.6715740415361052,0.7108538351676389,-0.6443067254720977,-0.28205614430265846
0.96,-0.37,-0.04,1.6311475918603446,5.916694577202864,0.933590608408159,-0.35834142363405824,0.931890927436632,-0.3576890326464291,-0.060314635750831014
0.44,0.73,-0.45,2.0236112420647547,1.0741403458887284,0.476488210653423,0.8791808602945694,0.42846732157228085,0.7905762618375114,-0.43749848978448225
-0.97,-0.17,-0.25,1.879656202009567,3.3084603891606554,-0.9861098550752925,-0.16609441207754636,-0.9394478819964819,-0.1582349500257128,-0.3039726593012677
0.0,-0.9,-0.42,1.976324187069335,4.687434407416231,-0.02495198305260223,-0.9996886508017097,-0.022928234558502052,-0.9186081852786294,-0.39450386309785807
0.05,0.88,-0.45,2.026807826955259,1.3819895318491808,0.18768702839506496,0.9822288833933922,0.1685084269453913,0.8818608587725967,-0.44037068001088336
0.6,-0.58,0.62,1.024635090388882,5.5253957137304175,0.7263570352397803,-0.687317581149847,0.6206900337317759,-0.5873298556095227,0.5194107456875956
0.37,0.81,-0.47,2.0704018132258524,1.148049055405415,0.4102674142407958,0.9119652673277482,0.36012109835843537,0.8004972423719141,-0.4790792830754374
0.2,0.98,0.19,1.3987325228306242,1.3327712917433865,0.2357838056429553,0.9718055345574674,0.23230210620166672,0.9574553768887363,0.1712160410741892
0.77,-0.47,0.26,1.310763489457751,5.635616255496377,0.7975526217431217,-0.6032493808953915,0.7707401274596883,-0.5829690631636394,0.25711228542707176
-0.99,-0.02,-0.14,1.6934478494752554,3.1587692219997336,-0.9998524863756836,-0.017175723809014363,-0.9923413211269115,-0.017046695075721496,-0.12234423799710148
-0.14,-0.65,0.85,0.7064305728490823,4.5633450897922625,-0.14849269098401308,-0.9889135051784491,-0.0963899775202364,-0.6419262113303025,0.7606837131428363
0.51,0.89,-0.27,1.8738882930933887,0.9525649267453966,0.5795948271665422,0.8149048019994642,0.5531758432318887,0.7777599624267162,-0.2984726575595867
0.82,0.0,-0.54,2.2559648702054833,0.07161892058242791,0.9974364611452488,0.07155771082170478,0.7723274232944962,0.055408023035696904,-0.6328035257570551
-0.68,0.28,0.69,0.7916725364759282,2.710241666677533,-0.9084017333416184,0.4180984224580895,-0.6463546177424183,0.2974893553235644,0.7026562399866825
-0.05,0.93,0.36,1.206875064983067,1.5430708306620124,0.027721944156771115,0.9996156730524831,0.0259063861419709,0.9341491157047341,0.35594141201204293
-0.39,-0.15,0.97,0.25084438773015194,3.3285317858777566,-0.9825777061567617,-0.1858522299132207,-0.24389741194516926,-0.046132613834046494,0.968703171455161
-0.83,0.51,0.07,1.5230997957920913,2.625488407691587,-0.8697483122222449,0.49349556572127,-0.8687591788577798,0.4929343310256564,0.04767844845048136
0.39,-0.97,0.27,1.3375280440643642,5.029723857266531,0.31203561718985734,-0.9500704045516547,0.3035844760934262,-0.9243387938056797,0.23115851734457232
0.02,0.15,-0.99,2.998600261818256,1.773601204460188,-0.2014175125462926,0.9795054801478469,-0.02870312340715966,0.13958501581738617,-0.9897939957718138
0.86,-0.52,0.02,1.5768354435936311,5.775533697598581,0.8738885307967267,-0.4861263577938749,0.8738725950806955,-0.48611749308021857,-0.006039080090098792
-0.92,-0.27,0.35,1.278652803923733,3.34748860950496,-0.9788782043786427,-0.2044442735623674,-0.9374018911272396,-0.19578170993106167,0.28800558426451484
-0.78,-0.7,-0.28,1.826551550635641,3.7907941612203,-0.7965667814372592,-0.6045505460345609,-0.7706564697928062,-0.5848860390307455,-0.25297613901989807
-0.7,0.16,0.72,0.7767121657162364,3.082637442791397,-0.9982626448602039,0.058921064796136215,-0.6997204776555139,0.041300028419772726,0.7132219575995019
0.88,0.05,0.61,1.0378090420557664,0.0246904306279312,0.9996952068021111,0.024687922085186637,0.861030534675987,0.021263535734102182,0.5081085321106795
0.46,0.36,0.81,0.6651021285426854,0.6700440253659528,0.7837943259859128,0.621020494470423,0.4837104354432914,0.3832562750714471,0.7868537616746968
-0.16,-0.23,-0.93,2.8394136246115593,3.8048764788090472,-0.7879746070950582,-0.615707737951529,-0.23450219598361438,-0.18323536740101995,-0.9546902744933964
-0.24,-0.96,0.1,1.5851921285406674,4.523037535053355,-0.18822197187060336,-0.9821265138998854,-0.18820246873065546,-0.9820247481460961,-0.014395304522071273
-0.68,-0.67,0.06,1.5027493336379654,3.928590203766413,-0.7059749400285789,-0.7082368135388364,-0.7043410998098633,-0.7065977386585185,0.06799449125701407
0.72,0.17,-0.67,2.2949850371094884,0.47300591463185476,0.8902029248438533,0.455564213475388,0.6667950800172721,0.34123452945361826,-0.6625279746345263
0.49,0.59,-0.66,2.271926575233106,0.9152961608715157,0.6095558226666717,0.7927431482221445,0.4657698775254818,0.6057457993613579,-0.6450817372596802
-0.2,0.97,-0.18,1.8448688347281168,1.6656682043091828,-0.09472962308866319,0.9955030379207689,-0.09119399538309277,0.9583475209125585,-0.27065417855045665
-0.98,-0.05,-0.09,1.7650052380607821,3.205421379577455,-0.9979636383730576,-0.06378539398019872,-0.9792025697260467,-0.06258626997494934,-0.19299037865274415
-0.87,0.43,-0.23,1.8037884811315086,2.695213210518845,-0.9020160146719665,0.431702570383016,-0.8776434458720926,0.42003792094597825,-0.230889858775
0.96,0.31,0.31,1.2539050941306342,0.23129736237970894,0.9733698062131269,0.22924052947203682,0.9249045008611916,0.21782635554863805,0.31161409325495726
-0.87,-0.3,-0.38,1.9415474280329084,3.5080997217586716,-0.9335847536325178,-0.3583566767689853,-0.8701527789881053,-0.33400830181318153,-0.36231560211941227
0.29,-0.51,0.79,0.5324293222720141,5.337011879329087,0.5847914162973514,-0.8111837026376565,0.296856429147086,-0.4117794663813655,0.8615764223449474
0.24,0.87,-0.23,1.8091061471248921,1.2809357556419776,0.28581861548696996,0.9582837361873109,0.2777409090676404,0.9312010541368401,-0.23606055198766096
