n_states,n_shots,decoherence,svr_fid_avg,mle_fid_avg,svr_infid_avg,mle_infid_avg,svr_mse,mle_mse,time_svr_train,time_svr_infer_batch,time_svr_infer_per_state,time_mle_batch,time_mle_per_state,svr_best_kernel,svr_best_C,svr_best_gamma,file_details
100,400,0.3,0.9854776112031216,0.8758306211439525,0.014522388796878394,0.12416937885604751,0.004061789521760546,0.08916282404599307,0.18071659999986878,0.0010686999994504731,5.343499997252365e-05,0.8459270000457764,0.04229635000228882,rbf,1,scale,results_data/preds_N100_S400_D0p3.csv
100,400,0.5,0.9866932989078879,0.945515616844852,0.013306701092112072,0.05448438315514803,0.003649483114050276,0.039341430857725034,0.18167689999972936,0.0010346999988541938,5.173499994270969e-05,0.702467679977417,0.03512338399887085,rbf,1,auto,results_data/preds_N100_S400_D0p5.csv
100,400,0.8,0.988712089393581,0.9699760581526364,0.011287910606418983,0.030023941847363567,0.004578689174293007,0.02437111766201794,0.18104499999753898,0.0011543000000528991,5.771500000264496e-05,0.6986026763916016,0.03493013381958008,rbf,1,scale,results_data/preds_N100_S400_D0p8.csv
100,1000,0.0,0.9965030918917559,0.9188969212870083,0.003496908108244101,0.08110307871299172,0.0010444072587628027,0.054043343021551456,0.18107870000312687,0.0011293000025034416,5.6465000125172085e-05,0.7512891292572021,0.03756445646286011,rbf,1,auto,results_data/preds_N100_S1000_D0p0.csv
100,1000,0.1,0.9921223904970077,0.9230440885754192,0.007877609502992322,0.0769559114245808,0.0013476248062671478,0.050630346687608574,0.19867359999989276,0.001315900000918191,6.579500004590954e-05,0.8228414058685303,0.041142070293426515,rbf,10,scale,results_data/preds_N100_S1000_D0p1.csv
100,1000,0.3,0.9879906698719039,0.9161113167361432,0.01200933012809613,0.08388868326385679,0.0014353263950227443,0.05144293975277983,0.27168499999970663,0.0010502000004635192,5.2510000023175964e-05,0.7693712711334229,0.038468563556671144,rbf,10,auto,results_data/preds_N100_S1000_D0p3.csv
100,1000,0.5,0.9939702914634685,0.958761979609147,0.006029708536531508,0.041238020390853,0.0010937054338590274,0.03377658762099763,0.1809780999974464,0.001054100001056213,5.2705000052810645e-05,0.849419116973877,0.04247095584869385,rbf,1,scale,results_data/preds_N100_S1000_D0p5.csv
100,1000,0.8,0.9275551325223699,0.9646144379022928,0.07244486747763013,0.03538556209770716,0.024972781580366227,0.03035416657593964,0.18745119999948656,0.0010570000013103709,5.2850000065518544e-05,0.9738895893096924,0.04869447946548462,sigmoid,0.1,scale,results_data/preds_N100_S1000_D0p8.csv
100,5000,0.0,0.9986897331408422,0.9510517828041237,0.0013102668591578048,0.048948217195876276,0.00017285193666252935,0.031899116432236564,0.2116487999992387,0.0011999000016658101,5.999500008329051e-05,0.931154727935791,0.04655773639678955,rbf,1,scale,results_data/preds_N100_S5000_D0p0.csv
100,5000,0.1,0.9962505052294643,0.8953158213105932,0.003749494770535655,0.10468417868940683,0.0005293745263419701,0.07530745857405442,0.21894909999900847,0.0015263000022969209,7.631500011484604e-05,1.0669353008270264,0.053346765041351316,rbf,10,scale,results_data/preds_N100_S5000_D0p1.csv
100,5000,0.3,0.9932566132726846,0.8887117618833894,0.006743386727315448,0.1112882381166106,0.001531747653517164,0.07828829196268736,0.2298759000004793,0.001269499996851664,6.347499984258321e-05,1.062110185623169,0.053105509281158446,rbf,10,scale,results_data/preds_N100_S5000_D0p3.csv
100,5000,0.5,0.9945809193076487,0.9512482484591125,0.005419080692351308,0.04875175154088751,0.0008592153087456134,0.0358983347469183,0.2111410999968939,0.0014019000009284355,7.009500004642177e-05,0.9262304306030273,0.04631152153015137,rbf,10,auto,results_data/preds_N100_S5000_D0p5.csv
100,5000,0.8,0.9930136139359114,0.9752563388614106,0.006986386064088634,0.02474366113858939,0.0015242721665589725,0.02427670477612409,0.21063610000055633,0.0027889999983017333,0.00013944999991508667,0.9519102573394775,0.047595512866973874,rbf,10,auto,results_data/preds_N100_S5000_D0p8.csv
1000,10,0.0,0.9224492420724466,0.8775965482302805,0.0775507579275534,0.12240345176971945,0.05175030164848018,0.10514375036698786,1.4880730000004405,0.028769500000635162,0.0001438475000031758,9.896349906921387,0.049481749534606934,rbf,0.1,scale,results_data/preds_N1000_S10_D0p0.csv
1000,10,0.1,0.9212377339056645,0.8948759593873511,0.07876226609433545,0.1051240406126489,0.052894539812792386,0.09096376139335259,1.3839815000028466,0.03250539999862667,0.00016252699999313335,8.627010583877563,0.043135052919387816,rbf,0.1,scale,results_data/preds_N1000_S10_D0p1.csv
1000,10,0.3,0.917311651428969,0.8882439121466363,0.08268834857103102,0.11175608785336366,0.05481916192169517,0.09290467580909793,1.4050747000001138,0.024626099999295548,0.00012313049999647773,7.547032117843628,0.037735160589218136,rbf,0.1,scale,results_data/preds_N1000_S10_D0p3.csv
1000,10,0.5,0.9068628934080368,0.8863901627485098,0.09313710659196317,0.11360983725149021,0.05634971616352071,0.0992232762266863,1.3925259999996342,0.018754099997750018,9.377049998875009e-05,8.699872016906738,0.04349936008453369,rbf,0.1,scale,results_data/preds_N1000_S10_D0p5.csv
